Fold,Window Size,LSTM Units,Batch Size,Learning Rate,MSE,MAE,Best Val Loss,Best Epoch
3,25,64,64,0.0001,0.03756914314636241,0.14063127390065552,0.03756914660334587,1
1,25,128,32,0.001,0.0471697723979946,0.1726484929539703,0.04716973006725311,1
2,25,128,32,0.001,0.046302143392741024,0.16962299360409525,0.046302128583192825,17
3,25,128,32,0.001,0.0374102076467191,0.14015160474734917,0.03741022199392319,1
1,25,128,32,0.0005,0.04599612332159285,0.16846074467771477,0.04599611833691597,13
2,25,128,32,0.0005,0.04578196780450508,0.1666564851507547,0.04578201472759247,8
3,25,128,32,0.0005,0.03717679600958342,0.1411591393018469,0.03717678040266037,1
1,25,128,32,0.0001,0.0461928213791024,0.17011212663398187,0.046192850917577744,11
2,25,128,32,0.0001,0.04595929049098988,0.1672666687728737,0.04595925286412239,10
3,25,128,32,0.0001,0.03728808105204177,0.14073726729095581,0.03728809580206871,1
1,25,128,64,0.001,0.046069304346715835,0.16999548897177502,0.04606903716921806,17
2,25,128,64,0.001,0.04578309365419806,0.16677932633752207,0.04578319191932678,3
3,25,128,64,0.001,0.03746488065648033,0.1428364652046959,0.03746509179472923,1
1,25,128,64,0.0005,0.04622655877213132,0.16822159134261047,0.0462266243994236,12
2,25,128,64,0.0005,0.04590548385327092,0.16860043985453513,0.0459054596722126,6
3,25,128,64,0.0005,0.03739250400599198,0.13936186244777793,0.03739266097545624,1
1,25,128,64,0.0001,0.046341936382316574,0.16912439395837955,0.04634192958474159,14
2,25,128,64,0.0001,0.04598493301946486,0.1675690379165169,0.04598482698202133,8
3,25,128,64,0.0001,0.037359774496475116,0.14186750241565785,0.03735995665192604,1
1,50,32,32,0.001,0.046139916491098526,0.16950882136144027,0.0461399108171463,9
2,50,32,32,0.001,0.046073082854870856,0.16717936328250096,0.04607309028506279,9
3,50,32,32,0.001,0.03733039303821754,0.14084328274764332,0.03733043372631073,1
1,50,32,32,0.0005,0.04624589719822929,0.1715993200711601,0.04624594748020172,7
2,50,32,32,0.0005,0.04617830231639303,0.16844439809604966,0.046178288757801056,11
3,50,32,32,0.0005,0.03739420755114165,0.1419178777070427,0.03739418461918831,2
1,50,32,32,0.0001,0.0467797785870232,0.1749499237998152,0.046779781579971313,4
2,50,32,32,0.0001,0.046363352030943335,0.16861351835777372,0.046363331377506256,7
3,50,32,32,0.0001,0.03874884055324454,0.1488112662134454,0.038748838007450104,1
1,50,32,64,0.001,0.04615760883980417,0.1724442712573375,0.04615761339664459,13
2,50,32,64,0.001,0.04639014792941507,0.16717477557653873,0.046390119940042496,8
3,50,32,64,0.001,0.03771183261269616,0.14404503605006608,0.037711795419454575,1
1,50,32,64,0.0005,0.046179639574326366,0.17187408112269964,0.0461796298623085,15
2,50,32,64,0.0005,0.046334723478972425,0.16732514528219555,0.04633472487330437,7
3,50,32,64,0.0005,0.03768430556513791,0.14244513869223993,0.037684306502342224,1
1,50,32,64,0.0001,0.04601545897035822,0.16413523658941132,0.046015456318855286,14
2,50,32,64,0.0001,0.046091738136550486,0.16630551797481505,0.046091705560684204,4
3,50,32,64,0.0001,0.037410702534634695,0.13866848912237495,0.03741070255637169,1
1,50,64,32,0.001,0.04584350817844211,0.17134216197531776,0.04584351181983948,12
1,50,64,32,0.001,0.04586426469774713,0.16723457638834224,0.045864302664995193,4
